"","month","titer","month","titer","month","titer","month","titer","month","titer"
"1",11,2.39716100745175,10,2.45998998029453,10,2.45998998029453,15,2.17046072232766,13,2.27909067355906
"2",24,2.31507708702702,22,2.41252134143727,23,2.35162958951654,26,2.29292388436579,22,2.48685658113239
"3",34,2.44665487361706,36,2.26673369424505,37,2.23275395658577,36,2.43205058233371,38,2.19725673713499
"4",46,2.40443319038684,49,2.23919736983637,47,2.3923841212249,51,2.22224486473314,47,2.43061299398687
"5",59,2.31930788171953,59,2.39663188103686,58,2.43325418568549,59,2.51277002114587,61,2.27682947221279
"6",74,2.16189804574731,73,2.2578668168943,70,2.39630526229511,72,2.38233584631694,75,2.19101286222256
"7",82,2.46952963584899,86,2.23403881731239,85,2.20311177366641,85,2.3064521371867,87,2.24937847256547
"8",99,2.13661714881444,99,2.22017621579862,95,2.37284278987662,95,2.44096895624888,95,2.53221210072657
"9",107,2.45141508163721,106,2.57897248277732,111,2.13872010489847,107,2.40098450717445,108,2.39364681687909
"10",118,2.47058162615826,123,2.19051384246818,118,2.51812334242768,122,2.20561639296492,121,2.31303260891694
"11",135,2.13713521647274,134,2.30560420742186,134,2.2133096276407,134,2.25823596170077,130,2.51018450940528
"12",146,2.27185094522782,144,2.44040996649634,143,2.44164597352505,146,2.29015134343992,146,2.20923369486186
"13",155,2.48188079346898,155,2.46362268838311,156,2.34095745335434,155,2.49445846095776,157,2.3174414564011
"14",168,2.36436517895644,169,2.29525004183702,171,2.17348622638738,167,2.43342753175323,171,2.21367577673909
"15",183,2.18601547903154,181,2.31260151788361,181,2.35331242541835,178,2.45920743890372,179,2.50663000129507
"16",194,2.30275972730104,194,2.26588225201537,191,2.47186116219408,194,2.18306119418823,195,2.20740874954834
"17",204,2.4385347696289,206,2.29478905294879,203,2.41972157722636,202,2.48469369433723,206,2.31628747657288
"18",217,2.33914742395208,215,2.49764590898135,216,2.32820232599782,216,2.30700840371615,219,2.26802666100489
"19",229,2.33922662601752,229,2.31423619470313,231,2.16665889869759,230,2.20785376666322,229,2.41563732111503
"20",243,2.22583266704162,240,2.38383838667195,240,2.40958342767467,238,2.50245834878524,238,2.58070362805247
